**********************
Inicio de la transcripción de Windows PowerShell
Hora de inicio: 20250806144948
Nombre de usuario: AULA403-23\Administrador
Usuario RunAs: AULA403-23\Administrador
Nombre de la configuración: 
Máquina: AULA403-23 (Microsoft Windows NT 10.0.26100.0)
Aplicación host: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Id. de proceso: 1636
PSVersion: 5.1.26100.4652
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.4652
BuildVersion: 10.0.26100.4652
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
La transcripción ha comenzado. El archivo de salida es C:\Users\Aula403-23\Documents\E2\transcript.txt
PS C:\WINDOWS\system32> Get-Date

miércoles, 6 de agosto de 2025 02:49:59 p. m.


PS C:\WINDOWS\system32> Get-Location

Path
----
C:\WINDOWS\system32


PS C:\WINDOWS\system32> Clear-Host
PS C:\WINDOWS\system32> Get-Process

Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
    122       8     1552       3520       1.31   2412   0 svchost
    634      17     3688       5316     103.41   2568   0 svchost
    383      13     3556       8584      48.78   2620   0 svchost
    252      11     2752       4308      18.34   2676   0 svchost
    201      11     2108       3244       1.55   2684   0 svchost
    230      11     2428       2872       0.73   2800   0 svchost
    177      10     2020       4264      12.19   2872   0 svchost
    327      10    24864      18756     168.59   2952   0 svchost
    207      13     1924       2824       0.86   3000   0 svchost
    468      13     2916       5380       4.55   3024   0 svchost
    164      10     2624       2060       0.42   3040   0 svchost
    374      19     7732       3852      28.72   3148   0 svchost
    459      31    13256       9912      33.58   3156   0 svchost
    179      10     1820       2732       0.97   3184   0 svchost
    383      16    21900      21916     141.61   3428   0 svchost
    386      21     3008       5404       3.23   3460   0 svchost
    210      12     2324       3820       1.69   3508   0 svchost
    472      17    10348      12224     242.14   3580   0 svchost
    131       8     1408        748       0.25   3600   0 svchost
    401      18     4936      13288       5.80   3672   0 svchost
    129       9     1736       1696       0.52   3688   0 svchost
    183     352     2680       2428       2.20   3820   0 svchost
    122       8     1740       8516      11.36   3832   0 svchost
    501      24     3800       5408       1.03   4180   0 svchost
    276      13    12220       6612      15.81   4388   0 svchost
    310      14     4420      10264      18.58   4404   0 svchost
    241      13     3324       8480       4.59   4736   0 svchost
    155      42     1876       1184       0.44   4780   0 svchost
    160      10     1848       3896       4.64   4844   0 svchost
    279      13     4920      13808      29.31   5616   0 svchost
    445      13     2776       7252       6.27   5788   0 svchost
    251      12     3184       5480       1.22   6060   0 svchost
    191      15     6568       1640       0.50   6700   0 svchost
    268      12     2984       5816       1.86   8556   0 svchost
    174       9     1864       9252       0.03   8640   0 svchost
    175      10     2340       5772       0.34   8780  15 svchost
    214      12     3272       3820       2.94   8868   0 svchost
    137       9     1968       2220       0.17   9088  15 svchost
    337      15     5576       8192       0.45   9676  15 svchost
    466      18     9844      21696       6.05  10004   0 svchost
    197      11     2804       3836       2.44  10232   0 svchost
    390      17     7172      12004       1.34  11664  15 svchost
    302      15     3580      10772       2.88  11728   0 svchost
    252      13     2916       3428       0.20  11856  15 svchost
    197      13     2460       2520       0.88  11920   0 svchost
    142       9     1832       2172       0.09  12584  15 svchost
    322      15     4040       5732       0.42  12796  15 svchost
    331      11     3144       4336       0.80  12924   0 svchost
    112       8     1552       1928       1.14  13316   0 svchost
    238      19     2188       3536       3.56  13440   0 svchost
    261      15     3560      12576       0.61  14164  15 svchost
    118       8     1364       6580       0.02  14408   0 svchost
   1463      20     7132      14168      93.58  16076   0 svchost
   4025       0       92      16472   3,542.50      4   0 System
   1129      56    65844          0       1.72  15252  15 SystemSettings
    590      28    18584      14296       3.39  12352  15 TabTip
    301      30     5868       8200       0.56  12208  15 taskhostw
   1019      34    24312      26880       5.47  10704  15 TextInputHost
    172      14     2652       2060       4.77   9456   0 vmnat
    105      10     7960        456       0.91  13736   0 vmnetdhcp
    234      17     4168        236       0.06   4804   0 vmware-authd
    205      19     4076       1640       0.09   8636  15 vmware-tray
    221      13     3004       2700       4.22    908   0 vmware-usbarbitrator64
    179      12     1784        712       0.67    816   0 wininit
    275      12     2700       6032       0.69  14908  15 winlogon
    266      17     5856       7144       1.86   9320   0 WmiPrvSE
    177      12     4604       9408      13.14  12624   0 WmiPrvSE
    272      15     2760        180       0.22   3644   0 WMIRegistrationService


PS C:\WINDOWS\system32> Get-Help dir

NOMBRE
    Get-ChildItem

SINOPSIS
    Gets the items and child items in one or more specified locations.


SINTAXIS
    Get-ChildItem [-Attributes <System.Management.Automation.FlagsExpression`1[System.IO.FileAttributes]>] [-CodeSigningCert <System.Management.Automation.SwitchParameter>] [-Depth <System.UInt32>] [-Directory
    <System.Management.Automation.SwitchParameter>] [-DnsName <Microsoft.PowerShell.Commands.DnsNameRepresentation>] [-DocumentEncryptionCert <System.Management.Automation.SwitchParameter>] [-Eku <System.String>] [-Exclude
    <System.String[]>] [-ExpiringInDays <System.Int32>] [-File <System.Management.Automation.SwitchParameter>] [[-Filter] <System.String>] [-FollowSymlink <System.Management.Automation.SwitchParameter>] [-Force
    <System.Management.Automation.SwitchParameter>] [-Hidden <System.Management.Automation.SwitchParameter>] [-Include <System.String[]>] [-Name <System.Management.Automation.SwitchParameter>] [[-Path] <System.String[]>] [-ReadOnly
    <System.Management.Automation.SwitchParameter>] [-Recurse <System.Management.Automation.SwitchParameter>] [-SSLServerAuthentication <System.Management.Automation.SwitchParameter>] [-System
    <System.Management.Automation.SwitchParameter>] [-UseTransaction <System.Management.Automation.SwitchParameter>] [<CommonParameters>]

    Get-ChildItem [-Attributes <System.Management.Automation.FlagsExpression`1[System.IO.FileAttributes]>] [-CodeSigningCert <System.Management.Automation.SwitchParameter>] [-Depth <System.UInt32>] [-Directory
    <System.Management.Automation.SwitchParameter>] [-DnsName <Microsoft.PowerShell.Commands.DnsNameRepresentation>] [-DocumentEncryptionCert <System.Management.Automation.SwitchParameter>] [-Eku <System.String>] [-Exclude
    <System.String[]>] [-ExpiringInDays <System.Int32>] [-File <System.Management.Automation.SwitchParameter>] [[-Filter] <System.String>] [-FollowSymlink <System.Management.Automation.SwitchParameter>] [-Force
    <System.Management.Automation.SwitchParameter>] [-Hidden <System.Management.Automation.SwitchParameter>] [-Include <System.String[]>] -LiteralPath <System.String[]> [-Name <System.Management.Automation.SwitchParameter>] [-ReadOnly
    <System.Management.Automation.SwitchParameter>] [-Recurse <System.Management.Automation.SwitchParameter>] [-SSLServerAuthentication <System.Management.Automation.SwitchParameter>] [-System
    <System.Management.Automation.SwitchParameter>] [-UseTransaction <System.Management.Automation.SwitchParameter>] [<CommonParameters>]


DESCRIPCIÓN
    The `Get-ChildItem` cmdlet gets the items in one or more specified locations. If the item is a container, it gets the items inside the container, known as child items. You can use the **Recurse** parameter to get items in all child
    containers and use the **Depth** parameter to limit the number of levels to recurse.

    `Get-ChildItem` doesn't display empty directories. When a `Get-ChildItem` command includes the **Depth** or **Recurse** parameters, empty directories aren't included in the output.

    The `Get-ChildItem` cmdlet is designed to work with the items exposed by any provider. For example, items can be a file system file or directory, registry hive, or a certificate store. To list the providers available in your
    session, use the `Get-PSProvider` command. Some parameters are only available for a specific provider. For more information, see [about_Providers](../Microsoft.PowerShell.Core/About/about_Providers.md).


VÍNCULOS RELACIONADOS
    Online Version https://learn.microsoft.com/powershell/module/microsoft.powershell.management/get-childitem?view=powershell-5.1&WT.mc_id=ps-gethelp
    about_Certificate_Provider ../Microsoft.PowerShell.Security/About/about_Certificate_Provider.md
    about_Providers ../Microsoft.PowerShell.Core/About/about_Providers.md
    about_Quoting_Rules ../Microsoft.PowerShell.Core/About/about_Quoting_Rules.md
    about_Registry_Provider ../Microsoft.PowerShell.Core/About/about_Registry_Provider.md
    ForEach-Object ../Microsoft.PowerShell.Core/ForEach-Object.md
    Get-Alias ../Microsoft.PowerShell.Utility/Get-Alias.md
    Get-Item Get-Item.md
    Get-Location Get-Location.md
    Get-Process Get-Process.md
    Get-PSProvider Get-PSProvider.md
    Split-Path Split-Path.md

NOTAS
    Para ver los ejemplos, escriba: "get-help Get-ChildItem -examples".
    Para obtener más información, escriba: "get-help Get-ChildItem -detailed".
    Para obtener información técnica, escriba: "get-help Get-ChildItem -full".
    Para obtener ayuda disponible en línea, escriba: "get-help Get-ChildItem -online"


PS C:\WINDOWS\system32> GetChildItem
GetChildItem : El término 'GetChildItem' no se reconoce como nombre de un cmdlet, función, archivo de script o programa 
ejecutable. Compruebe si escribió correctamente el nombre o, si incluyó una ruta de acceso, compruebe que dicha ruta es 
correcta e inténtelo de nuevo.
En línea: 1 Carácter: 1
+ GetChildItem
+ ~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (GetChildItem:String) [], CommandNotFoundException
    + FullyQualifiedErrorId : CommandNotFoundException
GetChildItem : El término 'GetChildItem' no se reconoce como nombre de un cmdlet, función, archivo de script o programa ejecutable. Compruebe si escribió correctamente el nombre o, si incluyó una ruta de acceso, compruebe que dicha
ruta es correcta e inténtelo de nuevo.
En línea: 1 Carácter: 1
+ GetChildItem
+ ~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (GetChildItem:String) [], CommandNotFoundException
    + FullyQualifiedErrorId : CommandNotFoundException

PS C:\WINDOWS\system32> Get-ChildItem


    Directorio: C:\WINDOWS\system32


Mode                 LastWriteTime         Length Name
----                 -------------         ------ ----
d-----     01/04/2024  02:23 p. m.                0409
d-----     04/06/2025  09:28 p. m.                AccountHealthAssets
d-----     04/06/2025  09:28 p. m.                AdvancedInstallers
d-----     05/09/2024  10:15 p. m.                af-ZA
d-----     05/09/2024  10:15 p. m.                am-ET
d-----     24/07/2025  09:28 a. m.                AppLocker
d-----     11/07/2025  02:01 p. m.                appraiser
d---s-     04/06/2025  09:28 p. m.                AppV
d-----     05/09/2024  10:15 p. m.                ar-SA
d-----     05/09/2024  10:15 p. m.                as-IN
d-----     05/09/2024  10:15 p. m.                az-Latn-AZ
d-----     05/09/2024  10:15 p. m.                be-BY
d-----     05/09/2024  10:15 p. m.                bg-BG
d-----     05/09/2024  10:15 p. m.                bn-IN
d-----     11/07/2025  02:01 p. m.                Boot
d-----     05/09/2024  10:15 p. m.                bs-Latn-BA
d-----     01/04/2024  01:26 a. m.                Bthprops
d-----     05/09/2024  10:15 p. m.                ca-ES
d-----     05/09/2024  10:15 p. m.                ca-ES-valencia
d-----     24/07/2025  09:49 a. m.                CatRoot
d-----     28/07/2025  11:45 a. m.                catroot2
d-----     05/09/2024  10:15 p. m.                chr-CHER-US
d-----     11/07/2025  02:01 p. m.                CodeIntegrity
d-----     06/06/2025  04:11 p. m.                Com
d-----     04/08/2025  09:02 a. m.                config
d---s-     01/04/2024  01:34 a. m.                Configuration
d-----     05/09/2024  10:15 p. m.                cs-CZ
d-----     05/09/2024  10:15 p. m.                cy-GB
d-----     05/09/2024  10:15 p. m.                da-DK
d-----     06/06/2025  04:11 p. m.                DDFs
d-----     05/09/2024  10:15 p. m.                de-DE
d-----     11/07/2025  02:01 p. m.                Dism
d-----     01/04/2024  01:26 a. m.                downlevel
d-----     18/07/2025  09:17 p. m.                drivers
d-----     01/04/2024  01:26 a. m.                DriverState
d-----     18/07/2025  09:17 p. m.                DriverStore
d-----     18/07/2025  09:17 p. m.                DRVSTORE
d---s-     01/04/2024  02:23 p. m.                dsc
d-----     05/09/2024  10:15 p. m.                el-GR
d-----     01/04/2024  02:23 p. m.                en
d-----     05/09/2024  10:15 p. m.                en-GB
d-----     11/07/2025  02:01 p. m.                en-US
d-----     01/04/2024  02:27 p. m.                es
d-----     11/07/2025  02:01 p. m.                es-ES
d-----     11/07/2025  02:01 p. m.                es-MX
d-----     05/09/2024  10:15 p. m.                et-EE
d-----     05/09/2024  10:15 p. m.                eu-ES
d---s-     06/06/2025  04:11 p. m.                F12
d-----     05/09/2024  10:15 p. m.                fa-IR
d-----     05/09/2024  10:15 p. m.                fi-FI
d-----     05/09/2024  10:15 p. m.                fil-PH
d-----     05/09/2024  10:15 p. m.                fr-CA
d-----     05/09/2024  10:15 p. m.                fr-FR
d-----     05/09/2024  10:15 p. m.                ga-IE
d-----     05/09/2024  10:15 p. m.                gd-GB
d-----     05/09/2024  10:15 p. m.                gl-ES
d-----     01/04/2024  01:26 a. m.                GroupPolicy
d-----     01/04/2024  01:26 a. m.                GroupPolicyUsers
d-----     05/09/2024  10:15 p. m.                gu-IN
d-----     05/09/2024  10:15 p. m.                he-IL
d-----     04/06/2025  09:28 p. m.                HealthAttestationClient
d-----     05/09/2024  10:15 p. m.                hi-IN
d-----     05/09/2024  10:15 p. m.                hr-HR
d-----     05/09/2024  10:15 p. m.                hu-HU
d-----     05/09/2024  10:15 p. m.                hy-AM
d-----     01/04/2024  01:26 a. m.                ias
d-----     01/04/2024  01:26 a. m.                icsxml
d-----     05/09/2024  10:15 p. m.                id-ID
d-----     01/04/2024  01:26 a. m.                IME
d-----     01/04/2024  01:26 a. m.                inetsrv
d-----     01/04/2024  01:26 a. m.                InputMethod
d-----     01/04/2024  01:26 a. m.                Ipmi
d-----     05/09/2024  10:15 p. m.                is-IS
d-----     05/09/2024  10:15 p. m.                it-IT
d-----     05/09/2024  10:15 p. m.                ja-jp
d-----     05/09/2024  10:15 p. m.                ka-GE
d-----     01/04/2024  01:26 a. m.                Keywords
d-----     05/09/2024  10:15 p. m.                kk-KZ
d-----     05/09/2024  10:15 p. m.                km-KH
d-----     05/09/2024  10:15 p. m.                kn-IN
d-----     05/09/2024  10:15 p. m.                ko-KR
d-----     05/09/2024  10:15 p. m.                kok-IN
d-----     05/09/2024  10:15 p. m.                lb-LU
d-----     01/04/2024  01:26 a. m.                Licenses
d-----     05/09/2024  10:15 p. m.                lo-LA
d-----     01/04/2024  02:27 p. m.                LogFiles
d-----     05/09/2024  10:15 p. m.                lt-LT
d-----     05/09/2024  10:15 p. m.                lv-LV
d---s-     01/04/2024  01:26 a. m.                lxss
d-----     01/04/2024  02:26 p. m.                MailContactsCalendarSync
d-----     05/09/2024  10:15 p. m.                mi-NZ
d---s-     04/06/2025  07:54 p. m.                Microsoft
d-----     11/07/2025  02:01 p. m.                Microsoft-Edge-WebView
d-----     11/07/2025  02:01 p. m.                migration
d-----     11/07/2025  02:01 p. m.                migwiz
d-----     05/09/2024  10:15 p. m.                mk-MK
d-----     05/09/2024  10:15 p. m.                ml-IN
d-----     05/09/2024  10:15 p. m.                mr-IN
d-----     19/06/2025  07:05 p. m.                MRT
d-----     05/09/2024  10:15 p. m.                ms-MY
d-----     01/04/2024  01:26 a. m.                MSDRM
d-----     01/04/2024  01:26 a. m.                MsDtc
d-----     05/09/2024  10:15 p. m.                mt-MT
d-----     01/04/2024  02:23 p. m.                MUI
d-----     05/09/2024  10:15 p. m.                nb-NO
d-----     01/04/2024  01:26 a. m.                NDF
d-----     05/09/2024  10:15 p. m.                ne-NP
d-----     01/04/2024  01:26 a. m.                networklist
d-----     05/09/2024  10:15 p. m.                nl-NL
d-----     05/09/2024  10:15 p. m.                nn-NO
d---s-     01/04/2024  01:26 a. m.                Nui
d-----     11/07/2025  02:01 p. m.                oobe
d-----     04/06/2025  09:28 p. m.                OpenSSH
d-----     05/09/2024  10:15 p. m.                or-IN
d-----     05/09/2024  10:15 p. m.                pa-IN
d-----     01/04/2024  01:34 a. m.                Pbr
d-----     04/06/2025  09:28 p. m.                PerceptionSimulation
d-----     05/09/2024  10:15 p. m.                pl-PL
d-----     01/04/2024  01:34 a. m.                PointOfService
d-----     01/04/2024  02:23 p. m.                Printing_Admin_Scripts
d-----     01/04/2024  01:26 a. m.                ProximityToast
d-----     05/09/2024  10:15 p. m.                pt-BR
d-----     05/09/2024  10:15 p. m.                pt-PT
d-----     05/09/2024  10:15 p. m.                qps-ploc
d-----     05/09/2024  10:15 p. m.                qps-plocm
d-----     05/09/2024  10:15 p. m.                quz-PE
d-----     01/04/2024  01:34 a. m.                ras
d-----     01/04/2024  01:26 a. m.                RasToast
d-----     04/06/2025  07:55 p. m.                Recovery
d-----     04/06/2025  08:09 p. m.                restore
d-----     05/09/2024  10:15 p. m.                ro-RO
d-----     05/09/2024  10:15 p. m.                ru-RU
d-----     11/07/2025  02:01 p. m.                ruxim
d-----     11/07/2025  02:01 p. m.                SecureBootUpdates
d-----     05/06/2025  12:50 p. m.                SecurityHealth
d-----     11/07/2025  02:01 p. m.                setup
d-----     06/06/2025  04:11 p. m.                ShellExperiences
d-----     05/09/2024  10:15 p. m.                sk-SK
d-----     05/09/2024  10:15 p. m.                sl-SI
d-----     06/08/2025  02:04 p. m.                SleepStudy
d-----     01/04/2024  02:23 p. m.                slmgr
d-----     01/04/2024  01:34 a. m.                SMI
d-----     01/04/2024  01:26 a. m.                Speech
d-----     01/04/2024  01:34 a. m.                Speech_OneCore
d-----     05/06/2025  05:40 p. m.                spool
d-----     01/04/2024  01:34 a. m.                spp
d-----     01/04/2024  01:26 a. m.                sppui
d-----     05/09/2024  10:15 p. m.                sq-AL
d-----     05/09/2024  10:15 p. m.                sr-Cyrl-BA
d-----     05/09/2024  10:15 p. m.                sr-Cyrl-RS
d-----     05/09/2024  10:15 p. m.                sr-Latn-RS
d-----     06/08/2025  02:04 p. m.                sru
d-----     05/09/2024  10:15 p. m.                sv-SE
d-----     04/06/2025  09:28 p. m.                Sysprep
d-----     05/09/2024  10:15 p. m.                ta-IN
d-----     05/08/2025  02:25 p. m.                Tasks
d-----     05/09/2024  10:15 p. m.                te-IN
d-----     05/09/2024  10:15 p. m.                th-TH
d-----     05/09/2024  10:15 p. m.                tr-TR
d-----     05/09/2024  10:15 p. m.                tt-RU
d-----     05/09/2024  10:15 p. m.                ug-CN
d-----     05/09/2024  10:15 p. m.                uk-UA
d-----     05/09/2024  10:15 p. m.                ur-PK
d-----     05/09/2024  10:15 p. m.                uz-Latn-UZ
d-----     05/09/2024  10:15 p. m.                vi-VN
d-----     11/07/2025  02:01 p. m.                wbem
d-----     01/04/2024  02:23 p. m.                WCN
d-----     05/06/2025  10:25 a. m.                WDI
d-----     14/07/2025  09:22 a. m.                WebThreatDefSvc
d-----     04/06/2025  08:06 p. m.                WinBioDatabase
d-----     04/06/2025  09:28 p. m.                WinBioPlugIns
d-----     01/04/2024  01:26 a. m.                WindowsPowerShell
d-----     01/04/2024  01:34 a. m.                winevt
d-----     11/07/2025  02:01 p. m.                WinMetadata
d-----     01/04/2024  02:23 p. m.                winrm
d-----     05/09/2024  10:15 p. m.                zh-CN
d-----     05/09/2024  10:15 p. m.                zh-TW
-a----     05/06/2025  01:09 p. m.          26016 0ae3b998-9a38-4b72-a4c4-06849441518d_Servicing-Stack.dll
-a----     10/07/2025  09:59 a. m.          25984 3bc29097-7317-41d3-93b9-38a48f99d48a_mssrch.dll
-a----     04/06/2025  08:30 p. m.          26016 4545ffe2-0dc4-4df4-9d02-299ef204635e_hvsocket.dll
-a----     14/07/2025  10:39 a. m.           2336 5E37410B-D6F1-471D-AE27-563CEAC0D6B2
-a----     05/06/2025  01:09 p. m.          26016 69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll
-a----     05/06/2025  01:09 p. m.          26032 6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll
-a----     01/04/2024  01:22 a. m.           3176 @AdvancedKeySettingsNotification.png
-a----     01/04/2024  01:22 a. m.            232 @AppHelpToast.png
-a----     01/04/2024  01:22 a. m.            308 @AudioToastIcon.png
-a----     01/04/2024  01:22 a. m.            660 @BackgroundAccessToastIcon.png
-a----     01/04/2024  01:22 a. m.            199 @bitlockertoastimage.png
-a----     01/04/2024  01:22 a. m.          14791 @edptoastimage.png
-a----     01/04/2024  01:22 a. m.            330 @EnrollmentToastIcon.png
-a----     04/06/2025  08:30 p. m.         212411 @facial-recognition-windows-hello-rejuv.gif
-a----     01/04/2024  01:22 a. m.         243815 @facial-recognition-windows-hello.gif
-a----     01/04/2024  01:22 a. m.            563 @language_notification_icon.png
-a----     01/04/2024  01:22 a. m.            699 @optionalfeatures.png
-a----     01/04/2024  01:22 a. m.            354 @StorageSenseToastIcon.png
-a----     01/04/2024  01:22 a. m.           1070 @VpnToastIcon.png
-a----     01/04/2024  01:22 a. m.            546 @WindowsHelloFaceToastIcon.png
-a----     04/06/2025  08:30 p. m.           1215 @WindowsHelloFaceToastIconRejuv.png
-a----     01/04/2024  01:22 a. m.            565 @WindowsUpdateToastIcon.contrast-black.png
-a----     01/04/2024  01:22 a. m.            599 @WindowsUpdateToastIcon.contrast-white.png
-a----     01/04/2024  01:22 a. m.            565 @WindowsUpdateToastIcon.png
-a----     01/04/2024  01:22 a. m.            691 @WirelessDisplayToast.png
-a----     01/04/2024  01:22 a. m.            331 @WLOGO_96x96.png
-a----     10/07/2025  09:57 a. m.         446464 aadauthhelper.dll
-a----     10/07/2025  09:57 a. m.        1036288 aadcloudap.dll
-a----     04/06/2025  08:30 p. m.          98304 aadjcsp.dll
